BLOCK_TIMESTAMP,BLOCK_ID,TX_ID,SUCCEEDED,ACCOUNT_ADDRESS,MINT,OWNER,PRE_BALANCE,BALANCE,FACT_TOKEN_BALANCES_ID,INSERTED_TIMESTAMP,MODIFIED_TIMESTAMP
2024-09-10 19:55:33.000,289016652,264MboYq3GeL7i9x4vJKJapQX9eAoiBo1vjyyKa2iYkVqkRTYpPfPfbdvpoXoXFepTLKWnWBeU2YFts5LGtYtszL,true,9rnrvUHo43Ge6sEF4q5B3ooNKSoSHraQzstfts1wcaZL,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,BdxtEVeyPXrk189cusApPr9HgJtMqy1EVddP6YLTa5vE,21879801.149018,20798818.508899,10786c31e11f761219b0bf183956a175,2024-09-10 20:35:49.651,2024-09-10 20:35:49.651
2024-09-10 20:03:42.000,289017754,3R8YvjUHPBcTpCzeDPdMy3j6R48Nv4dS3aLzVqvpfN2SLkgmeYX9MDgTRzSjKPNKwDEUWLqduXpaXPM3m9HWZuuS,true,81Dau7uazqQiFpurqKp265HYuoPHWcUv3vQHdSy3mPJR,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,67481638.632791,67342179.639827,3a5fc36a61900d5398b0b2e0ee0bf249,2024-09-10 20:35:49.651,2024-09-10 20:35:49.651
2024-09-10 20:12:46.000,289018993,me8K8BjaM5Cw5PaJwJs4hmWyUNueFKMwg2rZEVcb8MQdktb57ASJzScC1QLYptz3VKdAHwcA6LAHEivEnvkbXDs,true,4yxpYsyY3kWmyXRo5JeAgUUm1RTQfj2t5yK5q8PMmvhs,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,8iTqybBpcgzijmZfZfYuLyXLePZb2h2YifQR8N8krxA3,0,478264.525242,0d8eb6319ac82a15b93867598eb67d1d,2024-09-10 20:35:49.651,2024-09-10 20:35:49.651
2024-09-10 20:11:04.000,289018750,4GeYCH1MFE4ss4kBBgPBg2759uYBAX23Yw2awx3B2xEpGCYmejFPYkJrz38ZVagV6wrZ26Y3FSpE8BUrXgjKN97c,true,81Dau7uazqQiFpurqKp265HYuoPHWcUv3vQHdSy3mPJR,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,54019997.306257,54045886.205068,fd259d9726d5aa0754fc8e9e5db26ec1,2024-09-10 20:35:49.651,2024-09-10 20:35:49.651
2024-09-10 19:55:48.000,289016690,5tK2ERYkvf2Q58Uj9ZnssdDPvqxrtkwaeeCWNGMbf1M6F9LtBmtGCEx2z5kmoF7MqettvBHLuXSfUMSvZWusirbf,true,81Dau7uazqQiFpurqKp265HYuoPHWcUv3vQHdSy3mPJR,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,58478543.922616,58211126.358032,f3ec0d20390451e24e9db9e71adb62f1,2024-09-10 20:35:49.651,2024-09-10 20:35:49.651
2024-09-10 19:59:57.000,289017264,3PDw8PmmgRmqY5vHCcnrcjt3CAPdLHkH8XKexPcCqpA5bdVEi2vtecQVnuttHhf9do8aAE6ZSTDQ7SgBrSTEEEFw,true,D9eHXzQ1JEiDCgnyL2QheNhzZve96SgaGyroaxwZE6CH,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,CFkBEor9h3ZaM7pH9RVFADvBpUSjuksVZDDeeVJ2SmSk,0,13462.771154,9e81b7ce6cef697260ff9d1d5ac7f86f,2024-09-10 20:35:49.651,2024-09-10 20:35:49.651
2024-09-10 20:14:01.000,289019169,2R8DT8x6f7s3AS797hDVSo2gCoXXyTpmeWWKm8ToSDwBPECf2KDTsDndUCNfcFDH6bwovyFPmR3SqiatUVvAbDNK,true,GeLaaYNbUfsFVXp22a76ZWVm7iZz2tNJRdu1jaZVV9uB,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,dWKzMS3LWREHgnZ4pi1Qe9paALv3jSDo9BkkFnwXjVk,22456773.629546,23631401.337032,06e0dcc07b25e884a7bd885a318bc999,2024-09-10 20:35:49.651,2024-09-10 20:35:49.651
2024-09-10 19:54:12.000,289016479,4DZZEbMGSGXP3zwugxLjggvSRGbPsYPrCEaKhqqET33phyApTnN57K27Yf9mom6kadNSenpGLKXm9m65Wf6CHJ2M,true,81Dau7uazqQiFpurqKp265HYuoPHWcUv3vQHdSy3mPJR,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,60038576.596002,58957813.713757,338b82eecaa110723f7ec7c9da9db13b,2024-09-10 20:35:49.651,2024-09-10 20:35:49.651
2024-09-10 19:54:31.000,289016517,2smnBFToFmzSkRsmyQYUkQr1h78V9AXSB8TjNnr3N6X3qipeCCVzPnTV4mVcG9wBgen6seXRS2Lcp22DcaF98HS4,true,81Dau7uazqQiFpurqKp265HYuoPHWcUv3vQHdSy3mPJR,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,61068116.709329,60331654.601699,6c1a3f0c7db5f22de32906ef1783af9b,2024-09-10 20:35:49.651,2024-09-10 20:35:49.651
2024-09-10 20:00:47.000,289017364,5GAYtyLXyYLwWBYwBWqwjsRxzFoL3z2KxinowJr6gQDzCi5ne3oLEFnkQGgN9kyeGyb6wDeLAD5m6Na6EqztwDW7,true,6jfRERYDVH3WAwzNKwiTiHtG8BCdda4tNuhc7DBi3d4n,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,HxFLeF8xoDPmszJFEaiitzsVq4DajYdA9vWyCiyEhZXM,580913.480348,1207770.013889,0eae0d63df4c6fb63e31e64f1898c924,2024-09-10 20:35:49.651,2024-09-10 20:35:49.651
2024-09-10 20:04:03.000,289017795,3JGAipjJTNnfEffF7ffMpQmNmT2wHTThA3UwYBTHaiooYe12xu5Hb8tYnuaSeWgXwLuw9XLyYshEEFsRy5nddX4e,true,81Dau7uazqQiFpurqKp265HYuoPHWcUv3vQHdSy3mPJR,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,67328265.518853,67013615.698328,876db039988cb76db6c857a177c180f9,2024-09-10 20:35:49.651,2024-09-10 20:35:49.651
2024-09-10 20:16:00.000,289019443,4AEcu6RHBHdi6eHiDfC4LdPbv3BX9XNPtaSePaKtphF6FYW22wb3JzUEsWtTu1RLyVm2x9rAN5i9NY8FxmtXR76H,true,FmRrc3LsTC7wH67SjpauJQ6zGdHrovHAKM7EUkenBYBj,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,6RpRp4HEcCY99QFgog3FXNxGDEE388aSowEE7WfGBQu2,474785.571656,697719.558243,bf21463d479fcd52bbbfb045ce7f871a,2024-09-10 20:35:49.651,2024-09-10 20:35:49.651
2024-09-10 19:59:32.000,289017204,2dwWJZXot1szaDznUpxFjxs4VgcDuTDTm1CgKv8HYfTxwvjQJ4STTQuBF3sjjttSUhxCtdcEUWbEvY9MnUH1NxWx,true,9rnrvUHo43Ge6sEF4q5B3ooNKSoSHraQzstfts1wcaZL,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,BdxtEVeyPXrk189cusApPr9HgJtMqy1EVddP6YLTa5vE,20419089.045198,21914739.349635,8da237f70a8a868711673410d92ee9ed,2024-09-10 20:35:49.651,2024-09-10 20:35:49.651
2024-09-10 20:04:14.000,289017820,4KHATQbQkpYHiZg3Y9t6GSF6V5Aou8oPLXKNx688Zt18EpSbFWq6futcFACZKMaefn3uN4P7xq61YsB8JfDjQ4Dh,true,81Dau7uazqQiFpurqKp265HYuoPHWcUv3vQHdSy3mPJR,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,68180636.051688,68109388.902304,73cc53d358095170c7c93a9a17a513b1,2024-09-10 20:35:49.651,2024-09-10 20:35:49.651
2024-09-10 19:57:32.000,289016932,2JGudqtMhpyKfgY69ru3Jf8eWpSqi9iU7g2hjvcNwGqUKFwZLTBvQgav3vjjcSgKz77VrgJsTugQA4tT2fptozwC,true,GeLaaYNbUfsFVXp22a76ZWVm7iZz2tNJRdu1jaZVV9uB,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,dWKzMS3LWREHgnZ4pi1Qe9paALv3jSDo9BkkFnwXjVk,15968352.960446,15307374.983342,1e0d01cd1aa541b1046ef2430432c649,2024-09-10 20:35:49.651,2024-09-10 20:35:49.651
2024-09-10 20:01:31.000,289017458,5WH9XaEoNppAKpQbk6QoxJEU6XxDJpP1acfybAXebLiVGsKafw2pA45z7Gpv2qwAmBUDQkaEBk9tUqGykTABd72L,true,BYAVgYRe5tivyPZcQm6uGjRoMh7kja8AdHbik9HyzCdd,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,6bADd6JNrWPQvrV4jyRYE3GNUjfftN5mykmY9BennKa6,0,23427.084809,6f219ee640d59bb4acba8912b875b67f,2024-09-10 20:35:49.651,2024-09-10 20:35:49.651
2024-09-10 19:56:43.000,289016822,F5eVXbwyhzMHffAqJtk7GPUjfbvxUiuMEvat5AnFCoV46oqjmYsJF4rnaGxLo7dS4KU35gRgjXkBkAKPj8evCm5,true,BWCG6fDhCPPHeMCkBkWWGgjwQ8KGhisftgr1czwyNQJF,AaFXPyc1NUz87Z2KxkKAjo1wNG5oPrpmDpyhBNyyv3iM,BPG7ZZLNVhdUKCB1W4DoMoVRGrnWAF1HyZK8jAcEWajn,0,138986.662079,66a21a448ec60072664d0e24cc546dd8,2024-09-10 20:35:49.651,2024-09-10 20:35:49.651
